Height of Entrance,Height of the middle of the vault,Angle of Opening in Degree,Truss frequency along the length,Truss frequency space along the width,Truss depth,Number of elements,Number of joints,Total length of elements,Length of the longest member,Maximum displacement,Structure mass
16,38,19,47,10,-2.7,3760,998,15311.4222740335,7.92523258721282,1.72182132333984,71801.0395627239
29,34,27,38,4,-2.5,1216,347,10108.6480259045,20.9714555638385,2.99961161328317,72882.847404149
17,24,39,39,3,-1.8,936,277,7422.25207008191,17.1628935763404,2.25350204049617,45244.1221469585
15,30,44,26,11,-2.3,2288,610,9630.58111370794,5.79477588367932,2.937914032057,37600.2092195924
20,20,31,17,4,-2.3,544,158,4271.2425995724,15.1132270917167,2.97136197560995,20751.5643786898
15,21,14,23,13,-2.7,2392,635,9501.00983674974,4.66324252613849,2.24580934754853,35145.473626431
17,43,34,16,6,-2.3,768,215,5856.00439578342,14.0805195637908,2.1181421656953,33395.7083309382
20,15,37,41,3,-2.7,984,291,7448.39497518387,19.0546040996245,2.93366679269482,51099.7728950634
22,18,16,26,6,-2.8,1248,345,6888.86254857897,11.7093333548308,1.69700094964572,32741.7050282
21,20,38,24,10,-2,1920,515,8300.77796170284,6.64934479079267,2.99981742708545,35759.967490327
23,19,1,14,5,-1.7,560,160,4000.6679517332,13.6541271205016,2.89473650651023,19690.7218247166
27,18,31,14,5,-2.8,560,160,4510.46726538979,15.9365185668607,2.99260189300579,23721.5951120255
25,22,25,20,10,-2.2,1600,431,7818.23230290139,7.68076141147926,2.90664607606318,31202.7439357939
19,31,44,14,12,-2.6,1344,363,7972.96054976445,9.25225223654279,2.97951919012116,31969.6406368898
28,23,36,40,9,-2.5,2880,770,12386.9193261782,9.64079361560727,2.99905346235867,63840.4755696464
28,36,38,45,7,-2.3,2520,683,13693.8018178028,12.3798654093237,2.99927899642322,77072.4470944047
20,24,30,21,6,-2.8,1008,280,6234.20031858598,11.0477499633732,2.14323959812844,30696.0365148328
29,39,19,18,3,-2.6,432,130,5181.26311414054,26.4311861382494,0.590552670981667,38747.4349281151
